Inference - SOTS_outdoor
save_image: True
data_path: ../dataset/SOTS/outdoor/hazy
gt_path: ../dataset/SOTS/outdoor/clear
model_path: ../pretrained_models/SOTS_outdoor.pt
result_path: ../infer_results/infer_SOTS_outdoor
size_must_mode: 4
device: cuda
Loading model from ../pretrained_models/SOTS_outdoor.pt
> 0206_1 PSNR=32.817, SSIM=0.9831 pre_time:0.018s, forward_time:0.155s, post_time:0.508s, total_time:0.681s
> 0207_1 PSNR=38.087, SSIM=0.9900 pre_time:0.029s, forward_time:0.222s, post_time:0.599s, total_time:0.849s
> 0208_1 PSNR=30.354, SSIM=0.9855 pre_time:0.019s, forward_time:0.156s, post_time:0.585s, total_time:0.760s
> 0209_1 PSNR=27.216, SSIM=0.9767 pre_time:0.016s, forward_time:0.165s, post_time:0.523s, total_time:0.704s
> 0210_1 PSNR=27.617, SSIM=0.9823 pre_time:0.017s, forward_time:0.336s, post_time:0.437s, total_time:0.790s
> 0212_1 PSNR=29.854, SSIM=0.9805 pre_time:0.032s, forward_time:0.156s, post_time:0.568s, total_time:0.756s
> 0213_1 PSNR=33.261, SSIM=0.9737 pre_time:0.024s, forward_time:0.155s, post_time:0.458s, total_time:0.637s
> 0215_1 PSNR=35.119, SSIM=0.9888 pre_time:0.031s, forward_time:0.425s, post_time:0.778s, total_time:1.235s
> 0216_1 PSNR=26.076, SSIM=0.9737 pre_time:0.021s, forward_time:0.215s, post_time:0.535s, total_time:0.771s
> 0217_1 PSNR=36.334, SSIM=0.9845 pre_time:0.014s, forward_time:0.331s, post_time:0.440s, total_time:0.784s
> 0218_1 PSNR=29.867, SSIM=0.9805 pre_time:0.019s, forward_time:0.156s, post_time:0.394s, total_time:0.569s
> 0219_1 PSNR=21.533, SSIM=0.9632 pre_time:0.018s, forward_time:0.936s, post_time:0.560s, total_time:1.514s
> 0220_1 PSNR=21.745, SSIM=0.9530 pre_time:0.030s, forward_time:0.304s, post_time:1.065s, total_time:1.399s
> 0222_1 PSNR=23.609, SSIM=0.9647 pre_time:0.014s, forward_time:0.174s, post_time:0.594s, total_time:0.782s
> 0223_1 PSNR=25.826, SSIM=0.9656 pre_time:0.015s, forward_time:0.154s, post_time:0.395s, total_time:0.564s
> 0225_1 PSNR=29.772, SSIM=0.9642 pre_time:0.014s, forward_time:0.296s, post_time:0.533s, total_time:0.844s
> 0226_1 PSNR=21.196, SSIM=0.9695 pre_time:0.017s, forward_time:0.416s, post_time:0.964s, total_time:1.397s
> 0228_1 PSNR=25.968, SSIM=0.9562 pre_time:0.025s, forward_time:0.218s, post_time:0.562s, total_time:0.805s
> 0230_1 PSNR=18.673, SSIM=0.8940 pre_time:0.013s, forward_time:0.220s, post_time:0.587s, total_time:0.820s
> 0233_1 PSNR=32.076, SSIM=0.9896 pre_time:0.015s, forward_time:0.299s, post_time:0.519s, total_time:0.833s
> 0235_1 PSNR=27.715, SSIM=0.9769 pre_time:0.023s, forward_time:0.155s, post_time:0.380s, total_time:0.558s
> 0237_1 PSNR=30.790, SSIM=0.9845 pre_time:0.015s, forward_time:0.175s, post_time:0.376s, total_time:0.566s
> 0238_1 PSNR=26.935, SSIM=0.9757 pre_time:0.013s, forward_time:0.360s, post_time:0.574s, total_time:0.947s
> 0239_1 PSNR=26.691, SSIM=0.9751 pre_time:0.011s, forward_time:0.161s, post_time:0.443s, total_time:0.614s
> 0240_1 PSNR=34.148, SSIM=0.9892 pre_time:0.015s, forward_time:0.163s, post_time:0.348s, total_time:0.526s
> 0242_1 PSNR=26.361, SSIM=0.9762 pre_time:0.016s, forward_time:0.299s, post_time:0.440s, total_time:0.755s
